cityname,distance_0,duration_0,distance_2,duration_2
贺州市,1564935,65746,1455923,86696
葫芦岛市,1420269,62985,1344369,66482
阿拉尔市,4604224,195022,4382373,244231
菏泽市,745149,31499,697091,46401
聊城市,846682,34220,807097,50637
仙桃市,849932,37545,846558,38487
洛阳市,972681,42473,948125,54790
运城市,1140149,49361,1109229,68714
蚌埠市,409264,17609,405140,20292
玉溪市,2433834,109647,2360473,130369
石嘴山市,1928560,81076,1789495,135465
马鞍山市,236506,11504,233381,12598
宜春市,813156,34818,778403,42263
本溪市,1827758,78566,1739972,84530
襄樊市,1033045,42932,968650,50929
临汾市,1220532,50740,1142926,72074
常德市,1146038,49277,1088986,67886
潍坊市,681817,28570,652887,42675
伊犁哈萨克自治州,4607967,195475,4472244,238636
吐鲁番地区,3639603,158015,3521557,205387
红河州,2462524,110762,2339868,132639
怀化市,1404273,59938,1339778,85948
宿迁市,386321,17367,382800,18305
宝鸡市,1480107,59830,1441391,71944
莆田市,935432,41543,823416,48066
晋中市,1217518,53978,1144321,82164
太原市,1358258,60100,1267652,89314
潜江市,911858,39198,908895,40143
萍乡市,944667,41817,929401,55625
上海市,105886,5987,96843,7118
湖州市,153374,8426,130982,12206
普洱市,2718073,128435,2644662,148372
石河子市,3976326,171630,3850071,213431
黄南藏族自治州,2242441,99860,2164646,124795
天门市,871630,37315,868667,38283
石家庄市,1106556,44136,1049641,51475
宣城市,255489,14244,241286,17358
长治市,1117897,46506,1038218,75542
阳江市,1645092,71919,1600517,95199
恩施土家族苗族自治州,1328244,62210,1282829,66897
海南藏族自治州,2338528,105516,2263264,131308
荆门市,911763,39206,908482,40211
邵阳市,1311199,57815,1278207,89704
巴中市,1628099,75500,1625035,76626
玉林市,1789503,76826,1715494,105101
亳州市,533449,22281,518024,26573
哈尔滨市,2377642,104195,2278110,114739
永州市,1375453,61691,1312367,73947
海东地区,2098758,92299,2028783,121215
烟台市,846934,34997,796689,50420
郑州市,871998,35611,839405,50826
渭南市,1294516,53035,1215348,75869
中山市,1483272,64554,1430263,86310
湘西土家族苗族自治州,1374321,61390,1320512,81351
朝阳市,1565184,67184,1423643,72950
汕尾市,1320003,58729,1280474,74462
广州市,1376586,59923,1341162,81471
青岛市,702530,29676,664184,43950
淄博市,729288,32027,725389,33552
邢台市,1032869,42061,956135,65631
白城市,2116503,93220,2017404,123935
镇江市,154133,6984,146801,9071
天津市,1088399,46247,1036549,52952
东莞市,1419568,61488,1344830,81516
乐东黎族自治县,2252230,106110,2184215,131410
吕梁市,1403797,61272,1296848,93883
拉萨市,4134938,212676,3857469,221149
定西市,1807965,76749,1767792,91063
十堰市,1244687,66323,1198518,88115
梧州市,1701257,74708,1574599,95878
黄山市,410423,20195,383650,25996
那曲地区,4087545,210273,4016126,223976
崇左市,2030977,84571,1959498,99373
双鸭山市,2838151,132128,2723257,141775
白沙黎族自治县,2186377,106436,2109722,134343
果洛藏族自治州,2672618,124370,2508105,159572
